,,,SEMANA 6,,,
,LUN,MAR,MIÉ,JUE,VIE,SAB Y DOM
DESAYUNOS,Porridge,Tortilla rellena,Yogur y granola,Jamón serrano,Yogur y granola,"Donuts orginal, embutido, tomate rallado, pan"
,"Queso mozarella, tomate y albahaca",Queso brie,Bizcocho de zanahoria,Aguacate,Lacón ahumado,
,Aguacate,Tomate rallado,Salchichón,Zumo de naranja,Hojas de albahaca,
,Pan,Pan,Tomate laminado,Tomate rallado,Tomate rallado,
,,,Pan,Pan,Pan,
COMIDA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos,Ensalada de arroz
,Espaguetis carbonara,Arroz caldoso de marisco,Pescado del día al horno,Cocido madrileño,Solomillo al whisky,Crema de verduras
,Macedonia de frutas,Postre: Coulant de chocolate caliente,Pisto manchego,Postre: Natillas,Patatas gajo asadas,Solomillo al whisky
,,,,,,Carne con tomate
CENA,Ensalada Cesar,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,
,Chuletas de pavo al ajillo,Sopa de picadillo,Tortilla de espárragos,Pez espada al limón,Pizzas variadas,
,Verduras asadas,Berenjenas rellenas,Albóndigas con tomate,Guisantes salteados,,
