,LUN,MAR,MIÉ,JUE,VIE,SAB Y DOM
DESAYUNO,Porridge,Huevos fritos,Yogur y granola,Jamón serrano,Yogur y granola,"Donuts orginal, embutido, tomate rallado, pan"
DESAYUNO,Aguacate,Bacon asado,Creps ,Aguacate,Caña de lomo,
DESAYUNO,Pechuga de pavo,Tomate rallado,Jamón de york,Zumo de naranja,Tomate rallado,
DESAYUNO,Tomate rallado,Pan,Tomate rallado,Tomate rallado,Pan,
DESAYUNO,Pan,,Pan,Pan,,
COMIDA,Ensalada Cesar ,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,Ensalada de pasta
COMIDA,Macarrones a la bolognesa,Risoto de setas,Pescado del día al horno,Marmitako,Pollo asado,Macarrones con tomate
COMIDA,Macedonia de frutas,Postre: Tiramisú,Berenjenas a la parmesana,Postre: Arroz con leche,Patatas panadera,Pollo asado
COMIDA,,,,,,Carne en salsa
CENA,Ensalada Cesar,Ensalada mixta,Ensalada de escarola,Ensalada griega,Ensalada de canónigos ,
CENA,Jamoncitos de pollo asados,Crema de calabacín,Rollitos de primavera,Costillas barbacoa,Cena mejicana,
CENA,Verduras asadas,Empanada de atún,Arroz tres delicias,Patatas fritas,,
