,SEMANA 7,,,,,,,,,,
,LUNES,,MARTES,,MIÉRCOLES,,JUEVES,,VIERNES,,SÁBADO Y DOMINGO
DESAYUNOS,Porridge,-,Huevos fritos,-,Yogur y granola,-,Jamón serrano,-,Yogur y granola,-,"Donuts orginal, crepes o croisants, charcutería, tomate rallado, pan"
DESAYUNOS,Aguacate,-,Bacon asado,-,Creps ,-,Aguacate,-,Caña de lomo,-,
DESAYUNOS,Chorizo,,Tomate rallado,,Jamón de york,,Zumo de naranja,,Tomate rallado,,
DESAYUNOS,Queso,-,Pan,-,Tomate rallado,-,Tomate rallado,-,Pan,-,
DESAYUNOS,Tomate rallado,-,,-,Pan,-,Pan,-,,-,
DESAYUNOS,Pan,-,,,,-,,,,,
COMIDA,Ensalada Cesar ,,Ensalada mixta,,Ensalada griega,,Ensalada de escarola,,Ensalada caprese,,Ensalada de campera
COMIDA,Macarrones a la bolognesa,,Risoto de setas,,Pescado del día al horno,,Marmitako,,Pollo asado,,Macarrones con tomate
COMIDA,Macedonia de frutas,,Postre: Tiramisú,,Berenjenas a la parmesana,,Postre: Arroz con leche,,Patatas panadera,,Merluza en salsa verde
COMIDA,,,,,,,,,,,Pollo asado
CENA,Ensalada,,Ensalada ,,Ensalada,,Ensalada ,,Ensalada ,,
CENA,Jamoncitos de pollo asados,,Crema de calabacín,,Rollitos de primavera,,Costillas barbacoa,,Perritos,,
CENA,Verduras asadas,,Empanada de atún,,Arroz tres delicias,,Cous-cous,,Patatas fritas,,
